ID,Title,Project,Status,Priority,Due Date,Estimate,Created,Days in Current Status,Is Recurring Task,Triage Decision,Delegate To,Notes
AST-108,Weekly Issue Management,AST-Internal-Operations,In Review,High,2025-10-05,3,2025-10-06,149.8,YES,,,
AST-112,Weekly Issue Management,AST-Internal-Operations,In Review,High,2025-10-12,3,2025-10-06,149.8,YES,,,
AST-295,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2026-03-08,3,2026-03-02,5.4,YES,,,
AST-286,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2026-03-01,3,2026-02-23,12.4,YES,,,
AST-279,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2026-02-22,3,2026-02-16,19.4,YES,,,
AST-272,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2026-02-15,3,2026-02-09,26.4,YES,,,
AST-263,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2026-02-08,3,2026-02-02,33.4,YES,,,
AST-229,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2026-02-01,3,2026-01-26,40.4,YES,,,
AST-214,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2026-01-25,3,2026-01-19,47.4,YES,,,
AST-203,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2026-01-18,3,2026-01-12,54.4,YES,,,
AST-194,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2026-01-11,3,2026-01-05,61.4,YES,,,
AST-182,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2025-12-28,3,2025-12-22,75.4,YES,,,
AST-188,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2026-01-04,3,2025-12-29,68.4,YES,,,
AST-162,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2025-12-07,3,2025-12-01,96.4,YES,,,
AST-153,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2025-11-30,3,2025-11-24,103.4,YES,,,
AST-147,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2025-11-23,3,2025-11-17,110.4,YES,,,
AST-164,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2025-12-14,3,2025-12-08,89.4,YES,,,
AST-170,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2025-12-21,3,2025-12-15,82.4,YES,,,
AST-144,Weekly Issue Management,AST-Internal-Operations,In Progress,High,2025-11-16,3,2025-11-10,117.4,YES,,,
ANI6-51,Integrate Press Coverage Collection into Sitemap,ANI6-Beta-AST,In Review,High,2025-11-29,1,2025-11-12,89.8,NO,,,
AST-128,Finalise draft HR contract for Indo staff - New hires,AST-Internal-Operations,In Review,High,2025-10-27,,2025-10-27,128.9,NO,,,
AST-91,Setup Hiring - Customer.io Campaign,AST-Internal-Operations,In Review,High,,3,2025-09-30,128.9,NO,,,
AST-74,Platforms planning with seniors,AST-Internal-Operations,In Review,Medium,2025-09-21,8,2025-09-15,164.8,NO,,,
AST-87,Setup Vide Coding Stack,AST-Internal-Operations,In Review,No priority,2025-09-27,,2025-09-23,158.5,NO,,,
DLVRY-122,Beta Engagement: Testing & Quality Assurance,PLU-Beta-P_SPL,In Review,High,,3,2025-10-02,59.8,NO,,,
SPL-33,Asses to see if our team can create Snappy Scroll Effects across all sections,RCG-Epsilon-P_SPL,In Progress,Medium,,1,2026-02-23,12.8,NO,,,
DLVRY-492,Setup Team Access for StudioSense,SB-StudioScents,In Progress,Medium,,1,2026-02-09,26.1,NO,,,
AST-12,Complete Scott Klaviyo flow and launch,SPL-Internal-Operations,In Review,High,2025-08-30,2,2025-08-27,174.7,NO,,,
AST-15,Provision Haykal workflow access,SPL-Internal-Operations,In Progress,High,2025-10-28,,2025-08-27,115.8,NO,,,
AST-131,Design and align team incentives for Red Centre Global (Scott) performance-based initiative,SPL-Internal-Operations,In Review,Medium,2025-11-11,5,2025-10-28,127.9,NO,,,
AST-26,Update project movements for Scott,SPL-Internal-Operations,In Review,Medium,2025-08-29,5,2025-08-27,174.7,NO,,,
SPL-10,Singapore Event Lead Follow-up Strategy,SPL-Internal-Operations,In Review,Medium,,,2025-08-29,130.7,NO,,,
SPL-7,Password Management Vault Development,SPL-Internal-Operations,In Review,Medium,,,2025-08-29,174.7,NO,,,
AST-19,Run FP&A planning session (event + hiring),SPL-Internal-Operations,In Progress,Medium,,,2025-08-27,130.7,NO,,,
AST-92,Publish 80 articles in Webflow,SPL-Internal-Operations,In Progress,Medium,2025-10-27,5,2025-10-01,156.8,NO,,,
DLVRY-412,"Audit All English Locales (en-sg, en-id, en-my, en-hk)",WLX-Retainer-MarTechSupport,In Progress,Medium,2026-01-08,,2026-01-08,58.9,NO,,,
